name,points,challenges
X1cT34m,3042,"{'challenge_name': ['master of movie', 'Hard guess', 'signin', 'QQQRcode', 'only read', 'not so web 1', 'not so web 2', 'Excellent-Site', 'ACTF upload'], 'challenge_category': ['Misc', 'Misc', 'Misc', 'Misc', 'Pwn', 'Web', 'Web', 'Web', 'Web'], 'challenge_points': ['384', '476', '56', '400', '526', '240', '408', '408', '144']}"
Syclover,3003,"{'challenge_name': ['ezFPGA', 'master of movie', 'Hard guess', 'signin', 'QQQRcode', 'not so web 1', 'not so web 2', 'Excellent-Site', 'ACTF upload'], 'challenge_category': ['Reverse', 'Misc', 'Misc', 'Misc', 'Misc', 'Web', 'Web', 'Web', 'Web'], 'challenge_points': ['487', '384', '476', '56', '400', '240', '408', '408', '144']}"
Vidar-Team,2768.64,"{'challenge_name': ['ezFPGA', 'master of movie', 'signin', 'QQQRcode', 'easy_log', 'not so web 1', 'Excellent-Site', 'ACTF upload'], 'challenge_category': ['Reverse', 'Misc', 'Misc', 'Misc', 'Crypto', 'Web', 'Web', 'Web'], 'challenge_points': ['487', '384', '56', '400', '645', '240', '408', '144']}"
GameWor1d,2753,"{'challenge_name': ['master of movie', 'Hard guess', 'signin', 'QQQRcode', 'not so web 1', 'not so web 2', 'eznote', 'ACTF upload'], 'challenge_category': ['Misc', 'Misc', 'Misc', 'Misc', 'Web', 'Web', 'Web', 'Web'], 'challenge_points': ['384', '476', '56', '400', '240', '408', '645', '144']}"
天枢Dubhe,2282,"{'challenge_name': ['master of movie', 'signin', 'EasyDMA', 'not so web 1', 'Excellent-Site', 'ACTF upload'], 'challenge_category': ['Misc', 'Misc', 'Pwn', 'Web', 'Web', 'Web'], 'challenge_points': ['384', '56', '1000', '240', '408', '144']}"
Xp0int,1708,"{'challenge_name': ['master of movie', 'Hard guess', 'signin', 'not so web 1', 'Excellent-Site', 'ACTF upload'], 'challenge_category': ['Misc', 'Misc', 'Misc', 'Web', 'Web', 'Web'], 'challenge_points': ['384', '476', '56', '240', '408', '144']}"
IronW0lf,1700,"{'challenge_name': ['master of movie', 'Hard guess', 'signin', 'QQQRcode', 'not so web 1', 'ACTF upload'], 'challenge_category': ['Misc', 'Misc', 'Misc', 'Misc', 'Web', 'Web'], 'challenge_points': ['384', '476', '56', '400', '240', '144']}"
A1natas,1667,"{'challenge_name': ['ezFPGA', 'signin', 'OhMyTetration', 'not so web 1', 'ACTF upload'], 'challenge_category': ['Reverse', 'Misc', 'Crypto', 'Web', 'Web'], 'challenge_points': ['487', '56', '740', '240', '144']}"
_0xFFF_,1612.27,"{'challenge_name': ['unstoppable', 'Hard guess', 'signin', 'ACTF upload'], 'challenge_category': ['Reverse', 'Misc', 'Misc', 'Web'], 'challenge_points': ['909', '476', '56', '144']}"
S1uM4i,1441,"{'challenge_name': ['signin', 'easy_log', 'AAALLL'], 'challenge_category': ['Misc', 'Crypto', 'Crypto'], 'challenge_points': ['56', '645', '740']}"
Hyperion_No1,1379.26,"{'challenge_name': ['signin', 'only read', 'not so web 1', 'Excellent-Site', 'ACTF upload'], 'challenge_category': ['Misc', 'Pwn', 'Web', 'Web', 'Web'], 'challenge_points': ['56', '526', '240', '408', '144']}"
TimeKeeper,1256,"{'challenge_name': ['signin', 'not so web 1', 'not so web 2', 'Excellent-Site', 'ACTF upload'], 'challenge_category': ['Misc', 'Web', 'Web', 'Web', 'Web'], 'challenge_points': ['56', '240', '408', '408', '144']}"
L3H Sec,1256,"{'challenge_name': ['signin', 'not so web 1', 'not so web 2', 'Excellent-Site', 'ACTF upload'], 'challenge_category': ['Misc', 'Web', 'Web', 'Web', 'Web'], 'challenge_points': ['56', '240', '408', '408', '144']}"
eWloYW8,1248,"{'challenge_name': ['signin', 'QQQRcode', 'not so web 1', 'Excellent-Site', 'ACTF upload'], 'challenge_category': ['Misc', 'Misc', 'Web', 'Web', 'Web'], 'challenge_points': ['56', '400', '240', '408', '144']}"
H4aG4au,1224,"{'challenge_name': ['master of movie', 'signin', 'QQQRcode', 'not so web 1', 'ACTF upload'], 'challenge_category': ['Misc', 'Misc', 'Misc', 'Web', 'Web'], 'challenge_points': ['384', '56', '400', '240', '144']}"
Kap0K,1224,"{'challenge_name': ['master of movie', 'signin', 'QQQRcode', 'not so web 1', 'ACTF upload'], 'challenge_category': ['Misc', 'Misc', 'Misc', 'Web', 'Web'], 'challenge_points': ['384', '56', '400', '240', '144']}"
NEUQRO,1212,"{'challenge_name': ['AFL sandbox', 'arandom'], 'challenge_category': ['Pwn', 'Pwn'], 'challenge_points': ['606', '606']}"
******,941,"{'challenge_name': ['signin', 'easy_log', 'not so web 1'], 'challenge_category': ['Misc', 'Crypto', 'Web'], 'challenge_points': ['56', '645', '240']}"
Del0n1x,927,"{'challenge_name': ['ezFPGA', 'signin', 'not so web 1', 'ACTF upload'], 'challenge_category': ['Reverse', 'Misc', 'Web', 'Web'], 'challenge_points': ['487', '56', '240', '144']}"
Mini-Polis,848,"{'challenge_name': ['signin', 'not so web 1', 'Excellent-Site', 'ACTF upload'], 'challenge_category': ['Misc', 'Web', 'Web', 'Web'], 'challenge_points': ['56', '240', '408', '144']}"
你带斯啊,848,"{'challenge_name': ['signin', 'not so web 1', 'not so web 2', 'ACTF upload'], 'challenge_category': ['Misc', 'Web', 'Web', 'Web'], 'challenge_points': ['56', '240', '408', '144']}"
Timeline Sec,848,"{'challenge_name': ['signin', 'not so web 1', 'not so web 2', 'ACTF upload'], 'challenge_category': ['Misc', 'Web', 'Web', 'Web'], 'challenge_points': ['56', '240', '408', '144']}"
testjnu,848,"{'challenge_name': ['signin', 'not so web 1', 'not so web 2', 'ACTF upload'], 'challenge_category': ['Misc', 'Web', 'Web', 'Web'], 'challenge_points': ['56', '240', '408', '144']}"
FXZ,848,"{'challenge_name': ['signin', 'not so web 1', 'not so web 2', 'ACTF upload'], 'challenge_category': ['Misc', 'Web', 'Web', 'Web'], 'challenge_points': ['56', '240', '408', '144']}"
Source Code,848,"{'challenge_name': ['signin', 'not so web 1', 'not so web 2', 'ACTF upload'], 'challenge_category': ['Misc', 'Web', 'Web', 'Web'], 'challenge_points': ['56', '240', '408', '144']}"
RWeb_22,840,"{'challenge_name': ['master of movie', 'signin', 'QQQRcode'], 'challenge_category': ['Misc', 'Misc', 'Misc'], 'challenge_points': ['384', '56', '400']}"
mini_RD,824,"{'challenge_name': ['master of movie', 'signin', 'not so web 1', 'ACTF upload'], 'challenge_category': ['Misc', 'Misc', 'Web', 'Web'], 'challenge_points': ['384', '56', '240', '144']}"
Maple-leaves,806,"{'challenge_name': ['signin', 'AFL sandbox', 'ACTF upload'], 'challenge_category': ['Misc', 'Pwn', 'Web'], 'challenge_points': ['56', '606', '144']}"
Zer0-D4y,792,"{'challenge_name': ['not so web 1', 'not so web 2', 'ACTF upload'], 'challenge_category': ['Web', 'Web', 'Web'], 'challenge_points': ['240', '408', '144']}"
