name,points,challenges
firemonkey,410,"{'challenge_name': ['Eighth Secret of Bologna', 'Bologna Rider', 'Tortellini Check'], 'challenge_category': ['misc', 'misc', 'misc'], 'challenge_points': ['310', '50', '50'], 'solve_time': ['2025-04-06 22:03:28', '2025-04-06 20:18:06', '2025-04-06 19:34:02']}"
tofu,409,"{'challenge_name': ['x864Oracle'], 'challenge_category': ['pwn'], 'challenge_points': ['409'], 'solve_time': ['2025-04-05 22:46:26']}"
martinoo,379,"{'challenge_name': ['Feedback form', 'M1n3ctf', 'Ambiguous Collisions', 'Bologna Rider', 'Tortellini Check'], 'challenge_category': ['misc', 'misc', 'misc', 'misc', 'misc'], 'challenge_points': ['10', '175', '94', '50', '50'], 'solve_time': ['2025-04-06 20:26:01', '2025-04-06 17:19:43', '2025-04-06 01:27:55', '2025-04-05 22:41:22', '2025-04-05 22:30:32']}"
+AstolfoALetto?,379,"{'challenge_name': ['Feedback form', 'Inter Pianura padana Forks and Spaghetti 🤌', 'Ambiguous Collisions', 'Bologna Rider', 'Tortellini Check'], 'challenge_category': ['misc', 'misc', 'misc', 'misc', 'misc'], 'challenge_points': ['10', '175', '94', '50', '50'], 'solve_time': ['2025-04-06 21:42:38', '2025-04-06 17:42:40', '2025-04-06 02:27:49', '2025-04-06 00:00:09', '2025-04-05 22:41:25']}"
hidinginyourwifi,347,"{'challenge_name': ['AWAWA', 'Tortellini Check', 'YetAnotherOracle'], 'challenge_category': ['forensics', 'misc', 'crypto'], 'challenge_points': ['50', '50', '247'], 'solve_time': ['2025-04-06 15:49:43', '2025-04-06 15:37:06', '2025-04-06 15:30:15']}"
testtesttesttesttesttest,297,"{'challenge_name': ['YetAnotherOracle', 'Bologna Rider'], 'challenge_category': ['crypto', 'misc'], 'challenge_points': ['247', '50'], 'solve_time': ['2025-04-06 18:40:07', '2025-04-06 14:42:30']}"
bottomFragger,254,"{'challenge_name': ['AWAWA', 'Feedback form', 'Bologna Rider', 'Tortellini Check', 'Ambiguous Collisions'], 'challenge_category': ['forensics', 'misc', 'misc', 'misc', 'misc'], 'challenge_points': ['50', '10', '50', '50', '94'], 'solve_time': ['2025-04-06 21:15:59', '2025-04-06 20:10:08', '2025-04-06 18:21:30', '2025-04-06 13:42:28', '2025-04-06 05:42:34']}"
josal,225,"{'challenge_name': ['M1n3ctf', 'AWAWA'], 'challenge_category': ['misc', 'forensics'], 'challenge_points': ['175', '50'], 'solve_time': ['2025-04-06 14:42:59', '2025-04-06 13:18:37']}"
Omeg@,204,"{'challenge_name': ['Ambiguous Collisions', 'Feedback form', 'Tortellini Check', 'Bologna Rider'], 'challenge_category': ['misc', 'misc', 'misc', 'misc'], 'challenge_points': ['94', '10', '50', '50'], 'solve_time': ['2025-04-06 21:29:54', '2025-04-06 21:05:33', '2025-04-06 18:40:13', '2025-04-06 18:36:26']}"
luis,194,"{'challenge_name': ['Bologna Rider', 'POV', 'Tortellini Check'], 'challenge_category': ['misc', 'misc', 'misc'], 'challenge_points': ['50', '94', '50'], 'solve_time': ['2025-04-06 02:41:50', '2025-04-06 02:40:04', '2025-04-05 23:12:37']}"
Pwncetta e Pecorino,194,"{'challenge_name': ['Ambiguous Collisions', 'Bologna Rider', 'Tortellini Check'], 'challenge_category': ['misc', 'misc', 'misc'], 'challenge_points': ['94', '50', '50'], 'solve_time': ['2025-04-06 08:12:37', '2025-04-06 02:31:55', '2025-04-05 22:30:19']}"
heidicxt,160,"{'challenge_name': ['Feedback form', 'Bologna Rider', 'AWAWA', 'Tortellini Check'], 'challenge_category': ['misc', 'misc', 'forensics', 'misc'], 'challenge_points': ['10', '50', '50', '50'], 'solve_time': ['2025-04-06 20:47:39', '2025-04-06 20:44:36', '2025-04-06 11:11:12', '2025-04-06 06:25:00']}"
bakejidx,150,"{'challenge_name': ['Bologna Rider', 'AWAWA', 'Tortellini Check'], 'challenge_category': ['misc', 'forensics', 'misc'], 'challenge_points': ['50', '50', '50'], 'solve_time': ['2025-04-05 23:27:18', '2025-04-05 23:04:28', '2025-04-05 22:39:01']}"
db___,150,"{'challenge_name': ['AWAWA', 'Bologna Rider', 'Tortellini Check'], 'challenge_category': ['forensics', 'misc', 'misc'], 'challenge_points': ['50', '50', '50'], 'solve_time': ['2025-04-06 02:35:53', '2025-04-05 23:09:43', '2025-04-05 22:31:26']}"
