,name,points,challenges
392,ben w00dburn,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
393,XEro,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
394,HAO,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
395,CYBERCREWS,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
396,0x46,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
397,0xSoBaD,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
398,black_nindo,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
399,hextivist,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
400,phishtoryinthemaking,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
401,Beyond,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
402,cd,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
403,Pure_Talent,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
404,linguo_ok,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
405,owl_d,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
406,P4rad0x,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
407,Abort_survivors,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
408,GCC,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
409,layer zero,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
410,COOOKIE,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
411,Del0n1x,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
412,lowlevel,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
413,solup,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
414,Teepolysolo,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
415,Team. ROBOT,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
416,hydraxzb,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
417,CRYPTOBROS,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
418,Kanyarasi,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
419,a2,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
420,CRUSADERS,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
421,shellrippers,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
422,gindogin,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
423,Rooki3,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
424,0xv1ctu5,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
425,Wh0 4r3 w3,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
426,4nd,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
427,edoscoba,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
428,swanton,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
429,wolfgang,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
430,evil734cher,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
431,zapao,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
432,No_way,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
433,labupump,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
434,bglabs,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
435,Forg1ven,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
436,TEAMnAME,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
437,Supremeleader,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
438,Delulu001,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
439,Nitroglycerin,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
440,mepro,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
441,sp00k,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
442,Al-Qaeda,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
443,noobie,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
444,Azkabankar,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
445,Rekters,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
446,abc,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
447,bedrock firewall,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
448,Rockerz_blitz,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
449,MANDALORIAN GUILD,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
450,yesterday1M,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
451,hackers,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
452,LOS_POLLOS_HERMANOS,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
453,Clueless Coders,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
454,bootplug,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
455,b4d33r,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
456,Kernelroot,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
457,Mayas,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
458,redsti,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
459,Cyborgkillers,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
460,Zoho_Pirates,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
461,0xCZ,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
462,AbyssWalker,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
463,KENTANG GORENG POCIN,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
464,push1 0X45 lmao,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
465,ikusyst3m,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
466,b2brt,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
467,Cheetos,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
468,hjgkkv,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
469,first dance :),10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
470,Autobahn,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
471,TamilCTF,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
472,Hogwarts,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
473,th3Matr1x,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
474,pp,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
475,Digital_corsair,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
476,Deadlock,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
477,Naam ki mkc,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
478,iamandreiski,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
479,24F4,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
480,Majino,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
481,plairfx,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
482,None,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
483,UNknownteam,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
484,comcat,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
485,YirtGrek,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
486,R0W8L,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
487,ak123,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
488,X,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
489,XX0F,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
490,0XSAN,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
491,BCSC,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
492,DA,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
493,MANI,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
494,LoneWolf,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
495,lo1d,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
496,H4CK_077,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
497,r4ds3c,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
498,Ansh Raj,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
499,godskoala,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
500,CH3COOH,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
501,gcrba*p3,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
502,0day,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
503,Brbtrefika,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
504,happyhackerhour,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
505,SINGLE_PLAYER,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
506,blockbite,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
507,Newbie,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
508,solo-bot2creature,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
509,Aiven,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
510,sl1de,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
511,uvt_soso,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
512,Shuhari Researchers,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
513,0xdeadbeef,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
514,OakTree,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
515,silers,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
516,GopherHack,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
517,Nayohncorp,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
518,yolo,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
519,"Me, Myself & I",10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
520,cyberdogs,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
521,CottonCandySkies,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
522,jhokkar,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
523,qckhp,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
524,/k0(!#$Hnt,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
525,Xmasters,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
526,sk2025,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
527,web3 and doxxing,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
528,N0_Cl1C,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
529,athaw,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
530,Maxi,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
531,aviral,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
532,1cihg0,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
533,CSI-CSTJEAn,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
534,AnonSec,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
535,BoMday,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
536,R3BOOT,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
537,team Bharat,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
538,Goop Troop,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
539,bomjgang,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
540,h,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
541,darks,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
542,Lost,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
543,c my pp,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
544,just a trash team,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
545,rebane2001,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
546,users,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
547,acenotepad,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
548,mavis,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
549,Exodus labs,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
550,Etam_PENETRAL_BAJAU,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
551,Dystopia,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
552,vgu_Cypher,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
553,eyJpZCI6MTI1NCwidiI6IjJlNDFhZDk2MTAxYjE5MGM2YzhmM2E0MWVmNjEzNjVjMmQzZTFmNWEifQ.Z5JeDw.RGnCW_G_Xk_gtTAqNsCHrVoFUsg,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
554,kazxe,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
555,Ollam,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
556,Studit8,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
557,Pramod Kumar Mallick,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
558,Firewallfusion,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
559,guacamole,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
560,Flow,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
561,SOLO-Warrior,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
562,sparklezz,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
563,ACai_TEAM,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
564,Zbzbzbzb,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
565,Gladiator,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
566,78,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
567,Rando,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
568,viol1t,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
569,Dreamteam,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
570,Starscourge,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
571,Pilgrims,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
572,01,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
573,Secureshinchan,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
574,ggez,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
575,Upgrade0x10,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
576,hahahahahaha,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
577,honey_on_bread,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
578,solo,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
579,ifm cyber club,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
580,Sasuke,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
581,SKOO,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
582,Tomorin,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
583,soluble_security,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
584,devopslife,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
585,Nexus1,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
586,flag,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
587,AJAJA,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
588,SL33p1ng Gh0st👻,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
589,ljnljn,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
590,cosmos,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
591,Kanya Rasi,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
592,kOREA nUMBER oNE,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
593,straw_hats,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
594,lunatic byte,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
595,God HacK,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
596,01n,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
597,JKKNIU L@L P1p4a,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
598,xftiqlzprr,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
599,Ragna,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
600,syntax404,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
601,WALKERS,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
602,SiBears,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
603,X0X-root,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
604,spider0,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
605,Malwarezaers,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
606,ins0m1a_Øwls,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
607,menace,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
608,PWN,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
609,Glitchgroovers,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
610,The Fun-Gi,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
611,AlexSR,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
612,UNNAMEDT3AM,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
613,billa69,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
614,c1ph3rb0t,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
615,CyberFunk,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
616,two_noobs,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
617,MadDevs,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
618,kuduruk,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
619,apt7,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
620,johska,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
621,AcT3R,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
622,eeerrrseeku,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
623,MiN@soloctf,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
624,Honesty,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
625,Aquas,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
626,The Futurist,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
627,0x18a6,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
628,rlxnfhkz,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
629,Astrocat,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
630,N00b_1S_Here,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
631,NSEC-CARAGA,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
632,cHISTA0X,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
