,name,points,challenges
41,yult,429,"{'challenge_name': ['Welcome Discord Challenge', 'Diamond Heist', 'Frozen Voting'], 'challenge_category': ['Welcome', 'Solidity', 'Solidity, Governance']}"
42,sun,419,"{'challenge_name': ['Welcome Discord Challenge', 'Et tu, Permit2?'], 'challenge_category': ['Welcome', 'Glider']}"
43,VGz,409,"{'challenge_name': ['Welcome Discord Challenge', ""Maybe it's unnecessary?""], 'challenge_category': ['Welcome', 'Glider']}"
44,my_pickaxe_is_bronze,376,"{'challenge_name': ['Proof-of-Thought'], 'challenge_category': ['AI, Blockchain']}"
45,The_Blockchain_SMOKERS,376,"{'challenge_name': ['Proof-of-Thought'], 'challenge_category': ['AI, Blockchain']}"
46,0xTKOWeb3,374,"{'challenge_name': ['Welcome Discord Challenge', 'Lockdown'], 'challenge_category': ['Welcome', 'Solidity, DeFi']}"
47,ZoA,374,"{'challenge_name': ['Welcome Discord Challenge', 'Lockdown'], 'challenge_category': ['Welcome', 'Solidity, DeFi']}"
48,immunefi,368,"{'challenge_name': ['Welcome Discord Challenge', 'Diamond Heist', ""Rich Man's Bet""], 'challenge_category': ['Welcome', 'Solidity', 'Solidity']}"
49,w3s,368,"{'challenge_name': ['Welcome Discord Challenge', 'Diamond Heist', 'Casino Avengers'], 'challenge_category': ['Welcome', 'Solidity', 'Solidity']}"
50,snap,335,"{'challenge_name': ['Welcome Discord Challenge', 'Frozen Voting'], 'challenge_category': ['Welcome', 'Solidity, Governance']}"
51,upcypherpunk,274,"{'challenge_name': ['Welcome Discord Challenge', ""Rich Man's Bet""], 'challenge_category': ['Welcome', 'Solidity']}"
52,TheRomanXpl0it,274,"{'challenge_name': ['Welcome Discord Challenge', 'Casino Avengers'], 'challenge_category': ['Welcome', 'Solidity']}"
53,HCS,274,"{'challenge_name': ['Welcome Discord Challenge', 'Casino Avengers'], 'challenge_category': ['Welcome', 'Solidity']}"
54,Team_Plebs,274,"{'challenge_name': ['Welcome Discord Challenge', ""Rich Man's Bet""], 'challenge_category': ['Welcome', 'Solidity']}"
55,Green TEA TOADS,274,"{'challenge_name': ['Welcome Discord Challenge', ""Rich Man's Bet""], 'challenge_category': ['Welcome', 'Solidity']}"
56,de_DUST2,264,"{'challenge_name': ['Casino Avengers'], 'challenge_category': ['Solidity']}"
57,HEAVENz52,260,"{'challenge_name': ['Welcome Discord Challenge', 'Diamond Heist', 'R vs Q'], 'challenge_category': ['Welcome', 'Solidity', 'Glider']}"
58,wsec,166,"{'challenge_name': ['Welcome Discord Challenge', 'R vs Q'], 'challenge_category': ['Welcome', 'Glider']}"
59,NULL,166,"{'challenge_name': ['Welcome Discord Challenge', 'R vs Q'], 'challenge_category': ['Welcome', 'Glider']}"
60,XOR I Forgor,166,"{'challenge_name': ['Welcome Discord Challenge', 'R vs Q'], 'challenge_category': ['Welcome', 'Glider']}"
61,AAA,156,"{'challenge_name': ['R vs Q'], 'challenge_category': ['Glider']}"
62,0xtyyar,104,"{'challenge_name': ['Welcome Discord Challenge', 'Diamond Heist'], 'challenge_category': ['Welcome', 'Solidity']}"
63,Azure Crab,104,"{'challenge_name': ['Welcome Discord Challenge', 'Diamond Heist'], 'challenge_category': ['Welcome', 'Solidity']}"
64,r0ck3tz,104,"{'challenge_name': ['Welcome Discord Challenge', 'Diamond Heist'], 'challenge_category': ['Welcome', 'Solidity']}"
65,0xsanson,104,"{'challenge_name': ['Welcome Discord Challenge', 'Diamond Heist'], 'challenge_category': ['Welcome', 'Solidity']}"
66,agent3bood,104,"{'challenge_name': ['Welcome Discord Challenge', 'Diamond Heist'], 'challenge_category': ['Welcome', 'Solidity']}"
67,pogo,104,"{'challenge_name': ['Welcome Discord Challenge', 'Diamond Heist'], 'challenge_category': ['Welcome', 'Solidity']}"
68,SeveriTYSQUAD,104,"{'challenge_name': ['Welcome Discord Challenge', 'Diamond Heist'], 'challenge_category': ['Welcome', 'Solidity']}"
69,youtiaos,94,"{'challenge_name': ['Diamond Heist'], 'challenge_category': ['Solidity']}"
70,hAHAHA,94,"{'challenge_name': ['Diamond Heist'], 'challenge_category': ['Solidity']}"
71,> r0/dev/null,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
72,Apacheterbang,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
73,DIONLABS x MISIS,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
74,trigamma,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
75,QnQSec,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
76,scuwn,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
77,AIRxEROS,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
78,Terminal Titans,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
79,orez,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
80,Schrodinger Bears,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
81,gg_h3ckl3r,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
82,ideosphere_protocol,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
83,D6ath E9ters,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
84,CYB3R_ADDICTS,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
85,kBxAc,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
86,neosekai,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
87,Nc{Cat},10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
88,slight_smile,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
89,RabbitHorse,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
90,WAGNAK,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
91,CESI2K17,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
92,Les Handicapés,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
