points,name,challenge
800,Shellskapsresan,"{'challenge_name': ['Surgery', 'Funny Cipher', 'Math Test', 'Scavenger Hunt', 'POOF', 'Baby Pwn 2', 'Baby Pwn', 'Sanity Check'], 'challenge_category': ['Misc', 'Crypto', 'Misc', 'Web', 'Forensics', 'Pwn', 'Pwn', 'Misc'], 'challenge_points': ['100', '100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-12T18:25:39.978680Z', '2025-01-12T17:54:09.446467Z', '2025-01-12T06:04:38.021505Z', '2025-01-11T22:40:42.510411Z', '2025-01-11T19:37:51.667272Z', '2025-01-11T08:47:38.727872Z', '2025-01-11T07:24:20.994374Z', '2025-01-11T06:49:50.838240Z']}"
800,511K,"{'challenge_name': ['POOF', 'Funny Cipher', 'Racing', 'Scavenger Hunt', 'Surgery', 'Baby Pwn', 'Sanity Check', 'Math Test'], 'challenge_category': ['Forensics', 'Crypto', 'Misc', 'Web', 'Misc', 'Pwn', 'Misc', 'Misc'], 'challenge_points': ['100', '100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-12T21:05:39.058452Z', '2025-01-12T01:25:22.572020Z', '2025-01-11T17:02:28.692525Z', '2025-01-11T05:04:30.286556Z', '2025-01-11T03:28:19.491090Z', '2025-01-11T01:25:55.598690Z', '2025-01-11T00:52:46.041138Z', '2025-01-11T00:23:14.808416Z']}"
800,PrivateUser,"{'challenge_name': ['Racing', 'POOF', 'Prismatic Blogs', 'Surgery', 'Baby Pwn', 'Math Test', 'Scavenger Hunt', 'Sanity Check'], 'challenge_category': ['Misc', 'Forensics', 'Web', 'Misc', 'Pwn', 'Misc', 'Web', 'Misc'], 'challenge_points': ['100', '100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-12T21:08:15.594347Z', '2025-01-12T20:07:47.497494Z', '2025-01-12T07:45:43.862271Z', '2025-01-12T01:35:15.077573Z', '2025-01-12T00:33:20.627160Z', '2025-01-11T22:06:36.720899Z', '2025-01-11T12:15:22.204662Z', '2025-01-11T09:42:48.854995Z']}"
788,HyperSpectrum,"{'challenge_name': ['Echo', 'Math Test', 'Baby Pwn 2', 'Scavenger Hunt', 'Baby Pwn'], 'challenge_category': ['Pwn', 'Misc', 'Pwn', 'Web', 'Pwn'], 'challenge_points': ['388', '100', '100', '100', '100'], 'solve_time': ['2025-01-11T09:28:58.098274Z', '2025-01-11T08:31:13.665076Z', '2025-01-11T04:44:39.223863Z', '2025-01-11T02:25:18.973275Z', '2025-01-11T01:29:08.754905Z']}"
788,Redbud,"{'challenge_name': ['Math Test', 'Sanity Check', 'Racing', 'CodeDB', 'Prismatic Blogs'], 'challenge_category': ['Misc', 'Misc', 'Misc', 'Web', 'Web'], 'challenge_points': ['100', '100', '100', '388', '100'], 'solve_time': ['2025-01-12T14:39:23.735894Z', '2025-01-12T14:35:14.860237Z', '2025-01-12T13:41:37.972216Z', '2025-01-11T18:24:02.062970Z', '2025-01-11T13:30:13.113781Z']}"
763,siginthq,"{'challenge_name': ['Prismatic Blogs', 'Enchanted Oracle', 'Racing', 'Scavenger Hunt', 'Sanity Check', 'Baby Pwn'], 'challenge_category': ['Web', 'Crypto', 'Misc', 'Web', 'Misc', 'Pwn'], 'challenge_points': ['100', '263', '100', '100', '100', '100'], 'solve_time': ['2025-01-11T20:14:13.871618Z', '2025-01-11T19:35:13.207084Z', '2025-01-11T16:24:20.596896Z', '2025-01-11T00:57:22.037352Z', '2025-01-11T00:19:30.889034Z', '2025-01-11T00:16:10.640404Z']}"
755,torontol,"{'challenge_name': ['Racing 2', 'Racing', 'Prismatic Blogs', 'Scavenger Hunt', 'Baby Pwn 2', 'Baby Pwn', 'Sanity Check'], 'challenge_category': ['Misc', 'Misc', 'Web', 'Web', 'Pwn', 'Pwn', 'Misc'], 'challenge_points': ['155', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-11T16:58:44.142162Z', '2025-01-11T16:23:34.480066Z', '2025-01-11T16:15:32.636092Z', '2025-01-11T03:00:44.950330Z', '2025-01-11T00:36:39.373914Z', '2025-01-11T00:36:02.375048Z', '2025-01-11T00:03:56.199108Z']}"
755,aWOOwoo,"{'challenge_name': ['Racing 2', 'Surgery', 'Racing', 'Baby Pwn', 'Scavenger Hunt', 'Math Test', 'Sanity Check'], 'challenge_category': ['Misc', 'Misc', 'Misc', 'Pwn', 'Web', 'Misc', 'Misc'], 'challenge_points': ['155', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-12T05:18:52.115263Z', '2025-01-12T00:16:11.970519Z', '2025-01-11T23:50:28.269797Z', '2025-01-11T13:33:30.145434Z', '2025-01-11T03:41:47.471676Z', '2025-01-11T00:47:50.272719Z', '2025-01-11T00:03:02.894211Z']}"
726,Wicked_Wizards_ERAU,"{'challenge_name': ['Out of the Container', 'Racing', 'Scavenger Hunt', 'Math Test', 'Sanity Check'], 'challenge_category': ['Misc', 'Misc', 'Web', 'Misc', 'Misc'], 'challenge_points': ['326', '100', '100', '100', '100'], 'solve_time': ['2025-01-11T21:58:01.340868Z', '2025-01-11T20:54:34.697823Z', '2025-01-11T07:42:13.747637Z', '2025-01-11T07:29:09.572546Z', '2025-01-11T00:09:36.289238Z']}"
718,TheNaysayers,"{'challenge_name': ['Decrypt Me', 'Funny Cipher', 'Racing', 'Scavenger Hunt', 'Math Test', 'Sanity Check'], 'challenge_category': ['Forensics', 'Crypto', 'Misc', 'Web', 'Misc', 'Misc'], 'challenge_points': ['218', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-11T05:26:52.130066Z', '2025-01-11T05:23:48.723639Z', '2025-01-11T05:08:58.034967Z', '2025-01-11T04:55:25.477390Z', '2025-01-11T04:50:49.794472Z', '2025-01-11T04:46:26.312702Z']}"
718,BorderOfLife,"{'challenge_name': ['Funny Cipher', 'Math Test', 'Decrypt Me', 'Scavenger Hunt', 'POOF', 'Sanity Check'], 'challenge_category': ['Crypto', 'Misc', 'Forensics', 'Web', 'Forensics', 'Misc'], 'challenge_points': ['100', '100', '218', '100', '100', '100'], 'solve_time': ['2025-01-11T12:03:09.677282Z', '2025-01-11T05:34:39.107884Z', '2025-01-11T03:42:35.600661Z', '2025-01-11T02:03:21.243932Z', '2025-01-11T01:35:47.139130Z', '2025-01-11T00:04:34.706328Z']}"
718,ri5e,"{'challenge_name': ['Decrypt Me', 'POOF', 'Baby Pwn 2', 'Baby Pwn', 'Math Test', 'Sanity Check'], 'challenge_category': ['Forensics', 'Forensics', 'Pwn', 'Pwn', 'Misc', 'Misc'], 'challenge_points': ['218', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-11T12:52:04.536498Z', '2025-01-11T11:58:55.718895Z', '2025-01-11T02:03:19.758605Z', '2025-01-11T01:47:38.468628Z', '2025-01-11T01:44:31.978863Z', '2025-01-11T00:45:18.155742Z']}"
700,ECX Inc.,"{'challenge_name': ['Racing', 'Baby Pwn', 'Scavenger Hunt', 'Math Test', 'Funny Cipher', 'Surgery', 'Sanity Check'], 'challenge_category': ['Misc', 'Pwn', 'Web', 'Misc', 'Crypto', 'Misc', 'Misc'], 'challenge_points': ['100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-11T04:55:09.995502Z', '2025-01-11T03:50:11.544122Z', '2025-01-11T03:36:44.877367Z', '2025-01-11T02:59:35.340850Z', '2025-01-11T02:08:17.454587Z', '2025-01-11T00:50:32.130035Z', '2025-01-11T00:06:18.595858Z']}"
700,J3llyB34n_5w4g,"{'challenge_name': ['Racing', 'POOF', 'Baby Pwn 2', 'Math Test', 'Scavenger Hunt', 'Baby Pwn', 'Sanity Check'], 'challenge_category': ['Misc', 'Forensics', 'Pwn', 'Misc', 'Web', 'Pwn', 'Misc'], 'challenge_points': ['100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-11T06:02:56.928478Z', '2025-01-11T04:41:37.539230Z', '2025-01-11T04:32:47.529302Z', '2025-01-11T01:41:50.695085Z', '2025-01-11T01:20:20.206095Z', '2025-01-11T00:19:18.099549Z', '2025-01-11T00:04:33.103127Z']}"
700,Over1oad,"{'challenge_name': ['Racing', 'Surgery', 'Math Test', 'Scavenger Hunt', 'Baby Pwn 2', 'Baby Pwn', 'Sanity Check'], 'challenge_category': ['Misc', 'Misc', 'Misc', 'Web', 'Pwn', 'Pwn', 'Misc'], 'challenge_points': ['100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-11T08:26:46.341847Z', '2025-01-11T04:47:59.711073Z', '2025-01-11T02:19:27.813859Z', '2025-01-11T01:33:28.252124Z', '2025-01-11T01:00:46.410803Z', '2025-01-11T00:55:06.671651Z', '2025-01-11T00:48:06.423400Z']}"
700,5yn0us14,"{'challenge_name': ['Racing', 'Baby Pwn 2', 'Math Test', 'POOF', 'Scavenger Hunt', 'Baby Pwn', 'Sanity Check'], 'challenge_category': ['Misc', 'Pwn', 'Misc', 'Forensics', 'Web', 'Pwn', 'Misc'], 'challenge_points': ['100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-11T12:49:23.930422Z', '2025-01-11T02:44:56.173585Z', '2025-01-11T02:09:23.002600Z', '2025-01-11T01:50:04.624371Z', '2025-01-11T01:30:33.354590Z', '2025-01-11T00:52:04.134598Z', '2025-01-11T00:44:21.226705Z']}"
700,1nf1n1ty,"{'challenge_name': ['Surgery', 'Baby Pwn', 'Scavenger Hunt', 'Funny Cipher', 'Racing', 'Math Test', 'Sanity Check'], 'challenge_category': ['Misc', 'Pwn', 'Web', 'Crypto', 'Misc', 'Misc', 'Misc'], 'challenge_points': ['100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-11T17:09:11.688274Z', '2025-01-11T16:48:30.156502Z', '2025-01-11T16:15:19.880565Z', '2025-01-11T15:45:43.556492Z', '2025-01-11T13:47:20.181213Z', '2025-01-11T13:26:05.920437Z', '2025-01-11T12:46:56.995688Z']}"
700,JustOSBenches,"{'challenge_name': ['Baby Pwn', 'Funny Cipher', 'Scavenger Hunt', 'Racing', 'Math Test', 'Surgery', 'Sanity Check'], 'challenge_category': ['Pwn', 'Crypto', 'Web', 'Misc', 'Misc', 'Misc', 'Misc'], 'challenge_points': ['100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-11T18:04:13.562469Z', '2025-01-11T16:47:30.026179Z', '2025-01-11T08:30:17.721911Z', '2025-01-11T06:32:04.266035Z', '2025-01-11T06:19:23.342856Z', '2025-01-11T05:28:01.768292Z', '2025-01-11T03:11:29.711605Z']}"
700,Varygx,"{'challenge_name': ['Prismatic Blogs', 'Racing', 'Surgery', 'Funny Cipher', 'Math Test', 'Sanity Check', 'Baby Pwn'], 'challenge_category': ['Web', 'Misc', 'Misc', 'Crypto', 'Misc', 'Misc', 'Pwn'], 'challenge_points': ['100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-11T18:44:35.170587Z', '2025-01-11T05:54:51.679126Z', '2025-01-11T04:23:46.013012Z', '2025-01-11T04:19:14.206973Z', '2025-01-11T01:15:09.664145Z', '2025-01-11T01:15:04.263596Z', '2025-01-11T00:38:22.152208Z']}"
700,M4SEC,"{'challenge_name': ['Surgery', 'Funny Cipher', 'Baby Pwn', 'Racing', 'Scavenger Hunt', 'Math Test', 'Sanity Check'], 'challenge_category': ['Misc', 'Crypto', 'Pwn', 'Misc', 'Web', 'Misc', 'Misc'], 'challenge_points': ['100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-11T19:55:13.126419Z', '2025-01-11T14:11:21.155332Z', '2025-01-11T13:55:18.084601Z', '2025-01-11T10:50:13.831604Z', '2025-01-11T03:26:24.120300Z', '2025-01-11T03:15:24.304152Z', '2025-01-11T02:57:51.285845Z']}"
700,vad4m,"{'challenge_name': ['Sanity Check', 'Math Test', 'Racing', 'Surgery', 'Baby Pwn', 'Funny Cipher', 'Scavenger Hunt'], 'challenge_category': ['Misc', 'Misc', 'Misc', 'Misc', 'Pwn', 'Crypto', 'Web'], 'challenge_points': ['100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-11T20:21:49.287310Z', '2025-01-11T20:20:11.263718Z', '2025-01-11T20:10:53.672731Z', '2025-01-11T20:03:50.396361Z', '2025-01-11T10:18:22.681734Z', '2025-01-11T10:07:32.403933Z', '2025-01-11T09:34:49.656123Z']}"
700,h3ckm3ck,"{'challenge_name': ['Racing', 'Math Test', 'POOF', 'Funny Cipher', 'Baby Pwn', 'Sanity Check', 'Scavenger Hunt'], 'challenge_category': ['Misc', 'Misc', 'Forensics', 'Crypto', 'Pwn', 'Misc', 'Web'], 'challenge_points': ['100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-11T22:57:19.212446Z', '2025-01-11T21:40:48.793550Z', '2025-01-11T21:11:43.768428Z', '2025-01-11T16:36:32.926584Z', '2025-01-11T09:40:10.800974Z', '2025-01-11T08:45:27.333662Z', '2025-01-11T08:29:33.398869Z']}"
700,Locked in aliens,"{'challenge_name': ['Baby Pwn', 'Scavenger Hunt', 'Funny Cipher', 'Racing', 'Surgery', 'Math Test', 'Sanity Check'], 'challenge_category': ['Pwn', 'Web', 'Crypto', 'Misc', 'Misc', 'Misc', 'Misc'], 'challenge_points': ['100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-12T01:53:45.255802Z', '2025-01-12T01:38:58.382927Z', '2025-01-11T20:53:30.273872Z', '2025-01-11T04:56:41.041231Z', '2025-01-11T02:10:55.567565Z', '2025-01-11T01:30:48.494081Z', '2025-01-11T00:22:45.918137Z']}"
700,V50KFC,"{'challenge_name': ['Racing', 'Scavenger Hunt', 'Baby Pwn 2', 'Baby Pwn', 'Math Test', 'Surgery', 'Sanity Check'], 'challenge_category': ['Misc', 'Web', 'Pwn', 'Pwn', 'Misc', 'Misc', 'Misc'], 'challenge_points': ['100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-12T03:42:59.200517Z', '2025-01-11T03:49:01.010914Z', '2025-01-11T03:08:29.206247Z', '2025-01-11T01:12:48.289099Z', '2025-01-11T00:59:37.959432Z', '2025-01-11T00:34:17.522801Z', '2025-01-11T00:07:17.318673Z']}"
700,WeSignedUpLate,"{'challenge_name': ['Prismatic Blogs', 'Scavenger Hunt', 'Racing', 'Baby Pwn', 'Surgery', 'Math Test', 'Sanity Check'], 'challenge_category': ['Web', 'Web', 'Misc', 'Pwn', 'Misc', 'Misc', 'Misc'], 'challenge_points': ['100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-12T04:15:38.696107Z', '2025-01-11T08:52:29.055185Z', '2025-01-11T08:37:18.585406Z', '2025-01-11T06:37:50.649535Z', '2025-01-11T03:48:50.288444Z', '2025-01-11T03:25:08.529293Z', '2025-01-11T02:31:04.428169Z']}"
700,buccaneer,"{'challenge_name': ['Racing', 'Funny Cipher', 'Baby Pwn', 'Math Test', 'Surgery', 'Sanity Check', 'Scavenger Hunt'], 'challenge_category': ['Misc', 'Crypto', 'Pwn', 'Misc', 'Misc', 'Misc', 'Web'], 'challenge_points': ['100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-12T04:27:50.347054Z', '2025-01-12T02:51:04.895367Z', '2025-01-11T13:52:50.460297Z', '2025-01-11T08:40:54.130435Z', '2025-01-11T05:06:37.346743Z', '2025-01-11T03:18:06.075017Z', '2025-01-11T03:16:08.921423Z']}"
700,nub3cit4s,"{'challenge_name': ['Prismatic Blogs', 'Baby Pwn', 'Racing', 'Surgery', 'Math Test', 'Scavenger Hunt', 'Sanity Check'], 'challenge_category': ['Web', 'Pwn', 'Misc', 'Misc', 'Misc', 'Web', 'Misc'], 'challenge_points': ['100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-12T05:16:16.723477Z', '2025-01-11T14:55:07.600889Z', '2025-01-11T14:06:54.049136Z', '2025-01-11T13:59:40.772868Z', '2025-01-11T03:40:06.065979Z', '2025-01-11T03:28:53.239751Z', '2025-01-11T03:21:47.057312Z']}"
700,neocat,"{'challenge_name': ['Baby Pwn', 'Racing', 'Prismatic Blogs', 'Scavenger Hunt', 'Surgery', 'Math Test', 'Sanity Check'], 'challenge_category': ['Pwn', 'Misc', 'Web', 'Web', 'Misc', 'Misc', 'Misc'], 'challenge_points': ['100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-12T07:22:10.066525Z', '2025-01-12T03:21:45.094928Z', '2025-01-11T08:44:32.609618Z', '2025-01-11T06:07:11.483625Z', '2025-01-11T05:36:47.575652Z', '2025-01-11T04:40:43.877522Z', '2025-01-11T03:51:25.744631Z']}"
700,kyukais,"{'challenge_name': ['Scavenger Hunt', 'Baby Pwn', 'Racing', 'Funny Cipher', 'Surgery', 'Math Test', 'Sanity Check'], 'challenge_category': ['Web', 'Pwn', 'Misc', 'Crypto', 'Misc', 'Misc', 'Misc'], 'challenge_points': ['100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-12T08:58:16.505666Z', '2025-01-11T13:16:35.705199Z', '2025-01-11T10:36:01.412034Z', '2025-01-11T07:55:04.605609Z', '2025-01-11T04:17:05.609330Z', '2025-01-11T03:31:24.355118Z', '2025-01-11T00:27:57.644894Z']}"
700,Wired Ghost,"{'challenge_name': ['Baby Pwn', 'Racing', 'Funny Cipher', 'Scavenger Hunt', 'Surgery', 'Math Test', 'Sanity Check'], 'challenge_category': ['Pwn', 'Misc', 'Crypto', 'Web', 'Misc', 'Misc', 'Misc'], 'challenge_points': ['100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-12T08:58:27.335233Z', '2025-01-12T04:48:06.717604Z', '2025-01-11T13:35:24.830369Z', '2025-01-11T12:07:27.801930Z', '2025-01-11T05:13:39.851011Z', '2025-01-11T04:21:08.450905Z', '2025-01-11T01:03:44.867682Z']}"
700,J0K3R_SM!L3,"{'challenge_name': ['Scavenger Hunt', 'Funny Cipher', 'Baby Pwn', 'Racing', 'Math Test', 'Surgery', 'Sanity Check'], 'challenge_category': ['Web', 'Crypto', 'Pwn', 'Misc', 'Misc', 'Misc', 'Misc'], 'challenge_points': ['100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-12T09:13:27.542418Z', '2025-01-12T07:19:01.586941Z', '2025-01-12T05:36:35.986205Z', '2025-01-12T05:28:30.144535Z', '2025-01-11T11:10:54.897039Z', '2025-01-11T10:46:33.557530Z', '2025-01-11T06:02:01.762622Z']}"
700,Errors!Sum0neRs,"{'challenge_name': ['Racing', 'Funny Cipher', 'Scavenger Hunt', 'Baby Pwn', 'Math Test', 'Surgery', 'Sanity Check'], 'challenge_category': ['Misc', 'Crypto', 'Web', 'Pwn', 'Misc', 'Misc', 'Misc'], 'challenge_points': ['100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-12T09:15:36.855965Z', '2025-01-11T16:06:48.496224Z', '2025-01-11T13:58:22.251054Z', '2025-01-11T12:34:47.676753Z', '2025-01-11T01:54:24.535367Z', '2025-01-11T00:35:36.182739Z', '2025-01-11T00:09:59.622541Z']}"
700,t1st,"{'challenge_name': ['Math Test', 'Funny Cipher', 'Sanity Check', 'Baby Pwn 2', 'Baby Pwn', 'Racing', 'POOF'], 'challenge_category': ['Misc', 'Crypto', 'Misc', 'Pwn', 'Pwn', 'Misc', 'Forensics'], 'challenge_points': ['100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-12T09:59:17.749677Z', '2025-01-12T09:12:48.408983Z', '2025-01-12T08:49:14.015556Z', '2025-01-12T08:18:45.701401Z', '2025-01-12T08:05:15.546539Z', '2025-01-12T07:41:07.545558Z', '2025-01-12T04:19:13.044897Z']}"
700,Hacker Lỏd,"{'challenge_name': ['Math Test', 'Prismatic Blogs', 'Surgery', 'Baby Pwn 2', 'Baby Pwn', 'Sanity Check', 'Scavenger Hunt'], 'challenge_category': ['Misc', 'Web', 'Misc', 'Pwn', 'Pwn', 'Misc', 'Web'], 'challenge_points': ['100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-12T10:20:31.590137Z', '2025-01-11T19:49:46.134543Z', '2025-01-11T13:44:38.335028Z', '2025-01-11T13:37:31.613372Z', '2025-01-11T13:30:26.580111Z', '2025-01-11T13:24:57.547380Z', '2025-01-11T10:48:49.056261Z']}"
700,Cyb3rPr1s0n,"{'challenge_name': ['Prismatic Blogs', 'Funny Cipher', 'Surgery', 'Scavenger Hunt', 'Math Test', 'POOF', 'Sanity Check'], 'challenge_category': ['Web', 'Crypto', 'Misc', 'Web', 'Misc', 'Forensics', 'Misc'], 'challenge_points': ['100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-12T11:23:32.642352Z', '2025-01-11T12:01:27.325817Z', '2025-01-11T08:58:54.901823Z', '2025-01-11T05:59:15.647062Z', '2025-01-11T05:44:45.925877Z', '2025-01-11T05:35:11.550770Z', '2025-01-11T05:08:47.135507Z']}"
700,Cyber Rangers,"{'challenge_name': ['POOF', 'Funny Cipher', 'Baby Pwn', 'Scavenger Hunt', 'Math Test', 'Surgery', 'Sanity Check'], 'challenge_category': ['Forensics', 'Crypto', 'Pwn', 'Web', 'Misc', 'Misc', 'Misc'], 'challenge_points': ['100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-12T12:12:48.072127Z', '2025-01-11T17:16:38.145163Z', '2025-01-11T14:45:45.740684Z', '2025-01-11T14:29:55.755949Z', '2025-01-11T12:04:57.790483Z', '2025-01-11T11:39:18.475611Z', '2025-01-11T00:06:32.558130Z']}"
700,Atom,"{'challenge_name': ['Baby Pwn', 'Racing', 'Funny Cipher', 'Scavenger Hunt', 'Surgery', 'Math Test', 'Sanity Check'], 'challenge_category': ['Pwn', 'Misc', 'Crypto', 'Web', 'Misc', 'Misc', 'Misc'], 'challenge_points': ['100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-12T12:31:14.606130Z', '2025-01-12T04:46:46.859097Z', '2025-01-11T14:48:27.337249Z', '2025-01-11T12:02:34.366467Z', '2025-01-11T07:07:38.619429Z', '2025-01-11T07:07:15.131897Z', '2025-01-11T02:41:12.784731Z']}"
700,sleepy,"{'challenge_name': ['Funny Cipher', 'Surgery', 'Racing', 'Scavenger Hunt', 'Math Test', 'Baby Pwn', 'Sanity Check'], 'challenge_category': ['Crypto', 'Misc', 'Misc', 'Web', 'Misc', 'Pwn', 'Misc'], 'challenge_points': ['100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-12T14:40:50.073481Z', '2025-01-12T14:19:48.070487Z', '2025-01-12T06:18:00.182330Z', '2025-01-11T13:29:13.594471Z', '2025-01-11T05:19:03.339748Z', '2025-01-11T02:49:38.722413Z', '2025-01-11T02:20:41.097708Z']}"
700,0r@ng3_C4t,"{'challenge_name': ['Funny Cipher', 'Racing', 'Scavenger Hunt', 'Math Test', 'Sanity Check', 'Surgery', 'Baby Pwn'], 'challenge_category': ['Crypto', 'Misc', 'Web', 'Misc', 'Misc', 'Misc', 'Pwn'], 'challenge_points': ['100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-12T14:46:41.391558Z', '2025-01-11T18:13:27.296902Z', '2025-01-11T14:36:04.538860Z', '2025-01-11T10:15:22.536629Z', '2025-01-11T09:46:22.802991Z', '2025-01-11T09:39:34.971681Z', '2025-01-11T08:01:45.790829Z']}"
700,BlahLand,"{'challenge_name': ['Racing', 'Surgery', 'Funny Cipher', 'Scavenger Hunt', 'Baby Pwn 2', 'Baby Pwn', 'Sanity Check'], 'challenge_category': ['Misc', 'Misc', 'Crypto', 'Web', 'Pwn', 'Pwn', 'Misc'], 'challenge_points': ['100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-12T16:06:11.252514Z', '2025-01-12T02:54:36.889035Z', '2025-01-12T01:30:49.584651Z', '2025-01-11T16:57:55.745239Z', '2025-01-11T03:03:12.451169Z', '2025-01-11T01:50:01.420348Z', '2025-01-11T01:06:02.063928Z']}"
700,RedNet,"{'challenge_name': ['Baby Pwn 2', 'Baby Pwn', 'Funny Cipher', 'Math Test', 'Surgery', 'Scavenger Hunt', 'Sanity Check'], 'challenge_category': ['Pwn', 'Pwn', 'Crypto', 'Misc', 'Misc', 'Web', 'Misc'], 'challenge_points': ['100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-12T18:37:45.808607Z', '2025-01-12T18:32:07.683234Z', '2025-01-12T14:00:35.925399Z', '2025-01-11T19:53:24.369276Z', '2025-01-11T19:30:53.231385Z', '2025-01-11T11:29:59.134372Z', '2025-01-11T10:19:03.611291Z']}"
700,Duo Leveling,"{'challenge_name': ['Funny Cipher', 'Scavenger Hunt', 'Baby Pwn', 'Math Test', 'Racing', 'POOF', 'Sanity Check'], 'challenge_category': ['Crypto', 'Web', 'Pwn', 'Misc', 'Misc', 'Forensics', 'Misc'], 'challenge_points': ['100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-12T19:30:41.309877Z', '2025-01-12T13:43:41.528964Z', '2025-01-11T14:35:49.973600Z', '2025-01-11T14:15:07.090261Z', '2025-01-11T11:59:58.791913Z', '2025-01-11T11:09:58.140708Z', '2025-01-11T10:35:43.923152Z']}"
700,admin,"{'challenge_name': ['Racing', 'Prismatic Blogs', 'Funny Cipher', 'Math Test', 'Scavenger Hunt', 'Baby Pwn', 'Sanity Check'], 'challenge_category': ['Misc', 'Web', 'Crypto', 'Misc', 'Web', 'Pwn', 'Misc'], 'challenge_points': ['100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-12T22:53:42.877444Z', '2025-01-11T20:16:48.277023Z', '2025-01-11T16:41:28.346083Z', '2025-01-11T04:31:31.542106Z', '2025-01-11T03:29:27.568122Z', '2025-01-11T01:07:05.676114Z', '2025-01-11T00:04:19.722301Z']}"
700,Sinister Script,"{'challenge_name': ['Surgery', 'Baby Pwn 2', 'Baby Pwn', 'Prismatic Blogs', 'Sanity Check', 'Math Test', 'Scavenger Hunt'], 'challenge_category': ['Misc', 'Pwn', 'Pwn', 'Web', 'Misc', 'Misc', 'Web'], 'challenge_points': ['100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-12T23:12:00.006396Z', '2025-01-12T03:27:58.059004Z', '2025-01-11T23:44:31.925507Z', '2025-01-11T17:36:09.150859Z', '2025-01-11T07:50:47.216349Z', '2025-01-11T05:06:04.003232Z', '2025-01-11T02:04:20.036970Z']}"
700,OH14,"{'challenge_name': ['Funny Cipher', 'Racing', 'Math Test', 'Surgery', 'Scavenger Hunt', 'Baby Pwn', 'Sanity Check'], 'challenge_category': ['Crypto', 'Misc', 'Misc', 'Misc', 'Web', 'Pwn', 'Misc'], 'challenge_points': ['100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-12T23:20:11.593635Z', '2025-01-12T13:14:40.623420Z', '2025-01-12T00:24:52.561527Z', '2025-01-11T23:26:11.308259Z', '2025-01-11T21:23:12.394025Z', '2025-01-11T19:25:22.369160Z', '2025-01-11T10:29:59.178442Z']}"
663,pacificviking_solo,"{'challenge_name': ['Racing', 'Math Test', 'Enchanted Oracle', 'Funny Cipher', 'Sanity Check'], 'challenge_category': ['Misc', 'Misc', 'Crypto', 'Crypto', 'Misc'], 'challenge_points': ['100', '100', '263', '100', '100'], 'solve_time': ['2025-01-11T16:36:08.772760Z', '2025-01-11T16:17:45.941512Z', '2025-01-11T16:02:17.393393Z', '2025-01-11T05:36:14.231343Z', '2025-01-11T01:53:01.832215Z']}"
