name,points,challenges
or4nge,4451,"{'challenge_name': ['portable', 'chase', 'obfuscator', 'linuxpdf', 'magicfile', 'stone-game', 'baby layout', 'safe layout', 'supersqli', 'safe layout revenge', 'raenil', 'welcome', 'EzDB'], 'challenge_category': ['Reverse', 'Reverse', 'Reverse', 'Reverse', 'Reverse', 'Reverse', 'Web', 'Web', 'Web', 'Web', 'Misc', 'Misc', 'Pwn'], 'challenge_points': ['357', '303', '714', '327', '571', '327', '200', '289', '357', '416', '246', '59', '285']}"
SU,4406,"{'challenge_name': ['portable', 'chase', 'obfuscator', 'linuxpdf', 'stone-game', 'baby layout', 'safe layout', 'supersqli', 'safe layout revenge', 'raenil', 'nanonymous spam', 'welcome', 'EzDB'], 'challenge_category': ['Reverse', 'Reverse', 'Reverse', 'Reverse', 'Reverse', 'Web', 'Web', 'Web', 'Web', 'Misc', 'Misc', 'Misc', 'Pwn'], 'challenge_points': ['357', '303', '714', '327', '327', '200', '289', '357', '416', '246', '526', '59', '285']}"
HASHTEAM,4285,"{'challenge_name': ['chase', 'stone-game', 'encrypted chat', 'randomized random', 'baby layout', 'safe layout', 'supersqli', 'raenil', 'nanonymous spam', 'welcome', 'EzDB', 'smart door lock'], 'challenge_category': ['Reverse', 'Reverse', 'Crypto', 'Crypto', 'Web', 'Web', 'Web', 'Misc', 'Misc', 'Misc', 'Pwn', 'Pwn'], 'challenge_points': ['303', '327', '588', '416', '200', '289', '357', '246', '526', '59', '285', '689']}"
ukfc,4095.81,"{'challenge_name': ['portable', 'chase', 'linuxpdf', 'stone-game', 'baby layout', 'safe layout', 'safe layout revenge', 'raenil', 'welcome', 'EzDB', 'smart door lock', 'where is my rop'], 'challenge_category': ['Reverse', 'Reverse', 'Reverse', 'Reverse', 'Web', 'Web', 'Web', 'Misc', 'Misc', 'Pwn', 'Pwn', 'Pwn'], 'challenge_points': ['357', '303', '327', '327', '200', '289', '416', '246', '59', '285', '689', '588']}"
A1natas,4057,"{'challenge_name': ['chase', 'linuxpdf', 'encrypted chat', 'randomized random', 'nanonymous msg', 'baby layout', 'safe layout', 'supersqli', 'safe layout revenge', 'raenil', 'welcome', 'EzDB'], 'challenge_category': ['Reverse', 'Reverse', 'Crypto', 'Crypto', 'Crypto', 'Web', 'Web', 'Web', 'Web', 'Misc', 'Misc', 'Pwn'], 'challenge_points': ['303', '327', '588', '416', '571', '200', '289', '357', '416', '246', '59', '285']}"
Syclover,3831.8,"{'challenge_name': ['portable', 'chase', 'linuxpdf', 'stone-game', 'baby layout', 'safe layout', 'supersqli', 'thumbor 1', 'safe layout revenge', 'raenil', 'welcome', 'EzDB'], 'challenge_category': ['Reverse', 'Reverse', 'Reverse', 'Reverse', 'Web', 'Web', 'Web', 'Web', 'Web', 'Misc', 'Misc', 'Pwn'], 'challenge_points': ['357', '303', '327', '327', '200', '289', '357', '645', '416', '246', '59', '285']}"
Venom,3781.09,"{'challenge_name': ['portable', 'linuxpdf', 'stone-game', 'Are you incognito?', 'baby layout', 'safe layout', 'supersqli', 'safe layout revenge', 'raenil', 'welcome', 'EzDB'], 'challenge_category': ['Reverse', 'Reverse', 'Reverse', 'Web', 'Web', 'Web', 'Web', 'Web', 'Misc', 'Misc', 'Pwn'], 'challenge_points': ['357', '327', '327', '909', '200', '289', '357', '416', '246', '59', '285']}"
0RAYS,3338,"{'challenge_name': ['portable', 'chase', 'linuxpdf', 'stone-game', 'baby layout', 'safe layout', 'supersqli', 'raenil', 'welcome', 'EzDB', 'where is my rop'], 'challenge_category': ['Reverse', 'Reverse', 'Reverse', 'Reverse', 'Web', 'Web', 'Web', 'Misc', 'Misc', 'Pwn', 'Pwn'], 'challenge_points': ['357', '303', '327', '327', '200', '289', '357', '246', '59', '285', '588']}"
0x401 Team,3276,"{'challenge_name': ['portable', 'chase', 'linuxpdf', 'stone-game', 'baby layout', 'safe layout', 'supersqli', 'raenil', 'nanonymous spam', 'welcome', 'EzDB'], 'challenge_category': ['Reverse', 'Reverse', 'Reverse', 'Reverse', 'Web', 'Web', 'Web', 'Misc', 'Misc', 'Misc', 'Pwn'], 'challenge_points': ['357', '303', '327', '327', '200', '289', '357', '246', '526', '59', '285']}"
full_weak_engineer,3041.69,"{'challenge_name': ['baby layout', 'safe layout', 'supersqli', 'thumbor 1', 'thumbor 2', 'safe layout revenge', 'raenil', 'welcome'], 'challenge_category': ['Web', 'Web', 'Web', 'Web', 'Web', 'Web', 'Misc', 'Misc'], 'challenge_points': ['200', '289', '357', '645', '769', '416', '246', '59']}"
