name,points,challenges
Flag Fortress 2,318,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
qsec,301,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
SleepyHollow,301,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Team Enu,300,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Rootin' Tootin' Rev-Shells,299,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
enjoy,299,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
BeyondMachines,299,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
R0deo Nulo,243,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
"Good times, great friends and a good ol' shot of Flägermeister",243,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
PokemonCollection,243,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
saarsec,243,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Unlikely,243,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
GnGunners,242,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
ISTHISREAL?,242,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Phish Paprikash,242,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
singularity,242,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
BugBunnies,242,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
 ELF Wanted: Dead or Debugged,242,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Kisonka,242,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Flaming Out Houses ' or 1==1; -- ,218,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
mneF00,201,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
SU,201,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
3HLD,201,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
570 Tenge,201,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Smokey Desperados,200,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
burnt beef,143,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Smooth Floperators,143,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
valgrind,143,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
CrémeTartinéFabuleuse,143,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
ClipClop,143,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Sentir Squad,143,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
z,143,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Wade,143,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
PwnSec,143,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
aesploit,143,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
SavedByTheShell,143,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
CSUI,143,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
